,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total
1448,1,2,3,3,3,2,3,3
1449,1,2,3,3,3,3,1,1
1450,1,2,3,3,3,3,1,2
1451,1,2,3,3,3,3,1,3
1452,1,2,3,3,3,3,2,1
1453,1,2,3,3,3,3,2,2
1454,1,2,3,3,3,3,2,3
1455,1,2,3,3,3,3,3,1
1457,1,2,3,3,3,3,3,3
1487,1,3,1,1,2,1,1,3
1490,1,3,1,1,2,1,2,3
1493,1,3,1,1,2,1,3,3
1496,1,3,1,1,2,2,1,3
1499,1,3,1,1,2,2,2,3
1502,1,3,1,1,2,2,3,3
1505,1,3,1,1,2,3,1,3
1508,1,3,1,1,2,3,2,3
1511,1,3,1,1,2,3,3,3
1567,1,3,1,2,2,1,1,2
1568,1,3,1,2,2,1,1,3
1570,1,3,1,2,2,1,2,2
1571,1,3,1,2,2,1,2,3
1572,1,3,1,2,2,1,3,1
1573,1,3,1,2,2,1,3,2
1575,1,3,1,2,2,2,1,1
1576,1,3,1,2,2,2,1,2
1577,1,3,1,2,2,2,1,3
1578,1,3,1,2,2,2,2,1
1580,1,3,1,2,2,2,2,3
1583,1,3,1,2,2,2,3,3
1584,1,3,1,2,2,3,1,1
1585,1,3,1,2,2,3,1,2
1586,1,3,1,2,2,3,1,3
1587,1,3,1,2,2,3,2,1
1588,1,3,1,2,2,3,2,2
1589,1,3,1,2,2,3,2,3
1590,1,3,1,2,2,3,3,1
1591,1,3,1,2,2,3,3,2
1592,1,3,1,2,2,3,3,3
1594,1,3,1,2,3,1,1,2
1595,1,3,1,2,3,1,1,3
1596,1,3,1,2,3,1,2,1
1597,1,3,1,2,3,1,2,2
1598,1,3,1,2,3,1,2,3
1599,1,3,1,2,3,1,3,1
1600,1,3,1,2,3,1,3,2
1601,1,3,1,2,3,1,3,3
1602,1,3,1,2,3,2,1,1
1603,1,3,1,2,3,2,1,2
1604,1,3,1,2,3,2,1,3
1605,1,3,1,2,3,2,2,1
1606,1,3,1,2,3,2,2,2
1607,1,3,1,2,3,2,2,3
1608,1,3,1,2,3,2,3,1
1609,1,3,1,2,3,2,3,2
1610,1,3,1,2,3,2,3,3
1611,1,3,1,2,3,3,1,1
1612,1,3,1,2,3,3,1,2
1613,1,3,1,2,3,3,1,3
1614,1,3,1,2,3,3,2,1
1615,1,3,1,2,3,3,2,2
1617,1,3,1,2,3,3,3,1
1618,1,3,1,2,3,3,3,2
1619,1,3,1,2,3,3,3,3
1647,1,3,1,3,2,1,1,1
1648,1,3,1,3,2,1,1,2
1649,1,3,1,3,2,1,1,3
1650,1,3,1,3,2,1,2,1
1651,1,3,1,3,2,1,2,2
1652,1,3,1,3,2,1,2,3
1653,1,3,1,3,2,1,3,1
